NO,category,count,cat4,cat3,cat2,cat1
186,3432,0,2,3,4,3
187,3433,0,3,3,4,3
188,3434,0,4,3,4,3
189,3441,0,1,4,4,3
190,3442,0,2,4,4,3
191,3443,0,3,4,4,3
192,3444,0,4,4,4,3
193,4111,702,1,1,1,4
194,4112,0,2,1,1,4
195,4113,0,3,1,1,4
196,4114,29,4,1,1,4
197,4121,0,1,2,1,4
198,4122,0,2,2,1,4
199,4123,0,3,2,1,4
200,4124,0,4,2,1,4
201,4131,0,1,3,1,4
202,4132,0,2,3,1,4
203,4133,0,3,3,1,4
204,4134,0,4,3,1,4
205,4141,36,1,4,1,4
206,4142,0,2,4,1,4
207,4143,0,3,4,1,4
208,4144,24,4,4,1,4
209,4211,0,1,1,2,4
210,4212,0,2,1,2,4
211,4213,0,3,1,2,4
212,4214,0,4,1,2,4
213,4221,0,1,2,2,4
214,4222,0,2,2,2,4
215,4223,0,3,2,2,4
216,4224,0,4,2,2,4
217,4231,0,1,3,2,4
218,4232,0,2,3,2,4
219,4233,0,3,3,2,4
220,4234,0,4,3,2,4
221,4241,0,1,4,2,4
222,4242,0,2,4,2,4
223,4243,0,3,4,2,4
224,4244,0,4,4,2,4
225,4311,0,1,1,3,4
226,4312,0,2,1,3,4
227,4313,0,3,1,3,4
228,4314,0,4,1,3,4
229,4321,0,1,2,3,4
230,4322,0,2,2,3,4
231,4323,0,3,2,3,4
232,4324,0,4,2,3,4
233,4331,0,1,3,3,4
234,4332,0,2,3,3,4
235,4333,0,3,3,3,4
236,4334,0,4,3,3,4
237,4341,0,1,4,3,4
238,4342,0,2,4,3,4
239,4343,0,3,4,3,4
240,4344,0,4,4,3,4
241,4411,129,1,1,4,4
242,4412,0,2,1,4,4
243,4413,0,3,1,4,4
244,4414,12,4,1,4,4
245,4421,0,1,2,4,4
246,4422,0,2,2,4,4
247,4423,0,3,2,4,4
248,4424,0,4,2,4,4
249,4431,0,1,3,4,4
250,4432,0,2,3,4,4
251,4433,0,3,3,4,4
252,4434,0,4,3,4,4
253,4441,33,1,4,4,4
254,4442,0,2,4,4,4
255,4443,0,3,4,4,4
256,4444,36,4,4,4,4
